id,name,department,type
1,BIOCHEMISTRY,MEDICAL SCIENCES,MAJOR
2,BIOTECHNOLOGY,MEDICAL SCIENCES,MAJOR
3,MICROBIOLOGY,MEDICAL SCIENCES,MAJOR
4,MOLECULAR BIOLOGY,MEDICAL SCIENCES,MAJOR
5,APPLIED CHEMISTRY,CHEMISTRY,MAJOR
6,GENERAL CHEMISTRY,CHEMISTRY,MAJOR
7,ENVIRONMENTAL CHEMISTRY,CHEMISTRY,MAJOR
8,FOOD CHEMISTRY,CHEMISTRY,MAJOR
9,ENVIRONMENTAL CHEMISTRY,CHEMISTRY,MINOR
10,FOOD CHEMISTRY,CHEMISTRY,MINOR
11,FOOD PROCESSING,CHEMISTRY,MINOR
12,GENERAL CHEMISTRY,CHEMISTRY,MINOR
13,INDUSTRIAL CHEMISTRY,CHEMISTRY,MINOR
14,COMPUTER SCIENCE,COMPUTING,MAJOR
15,SOFTWARE ENGINEERING,COMPUTING,MAJOR
16,COMPUTER STUDIES,COMPUTING,SPECIAL
17,COMPUTER SYSTEMS ENGINEERING,COMPUTING,SPECIAL
18,INFORMATION TECHNOLOGY,COMPUTING,SPECIAL
19,GEOGRAPHY,GEOGRAPHY AND GEOLOGY,MAJOR
20,GEOLOGY,GEOGRAPHY AND GEOLOGY,MAJOR
21,GEOGRAPHY,GEOGRAPHY AND GEOLOGY,MINOR
22,GEOLOGY,GEOGRAPHY AND GEOLOGY,MINOR
23,ELECTRONICS,PHYSICS,MAJOR
24,ENERGY AND ENVIRONMENTAL PHYSICS,PHYSICS,MAJOR
25,GENERAL PHYSICS,PHYSICS,MAJOR
26,MATERIALS SCIENCE,PHYSICS,MAJOR
27,MEDICAL PHYSICS,PHYSICS,MAJOR
28,ELECTRONICS,PHYSICS,MINOR
29,ENERGY AND ENVIRONMENTAL PHYSICS,PHYSICS,MINOR
30,GENERAL PHYSICS,PHYSICS,MINOR
31,MATERIALS SCIENCE,PHYSICS,MINOR
32,MEDICAL PHYSICS,PHYSICS,MINOR
33,PHYSICS WITH EDUCATION,PHYSICS,SPECIAL
34,MATHEMATICS,MATHEMATICS,MAJOR
35,MATHEMATICS AND MODELLING PROCESSES(DOUBLE),MATHEMATICS,MAJOR
36,MATHEMATICS,MATHEMATICS,MINOR
37,ACTUARIAL SCIENCE,MATHEMATICS,SPECIAL
38,MATHEMATICS WITH EDUCATION,MATHEMATICS,SPECIAL
39,ANIMAL BIOLOGY,LIFE SCIENCES,MAJOR
40,PLANT BIOLOGY,LIFE SCIENCES,MAJOR
41,HORTICULTURE,LIFE SCIENCES,MAJOR
42,MARINE BIOLOGY,LIFE SCIENCES,MAJOR
43,TERRESTRIAL AND FRESHWATER ECOLOGY,LIFE SCIENCES,MAJOR
44,ANIMAL BIOLOGY,LIFE SCIENCES,MINOR
45,PLANT BIOLOGY,LIFE SCIENCES,MINOR
46,COASTAL ECOSYSTEMS,LIFE SCIENCES,MINOR
47,TERRESTRIAL AND FRESHWATER ECOLOGY,LIFE SCIENCES,MINOR
48,BIOLOGY WITH EDUCATION,LIFE SCIENCES,SPECIAL
49,ENVIRONMENTAL BIOLOGY,LIFE SCIENCES,SPECIAL
50,EXPERIMENTAL BIOLOGY,LIFE SCIENCES,SPECIAL
,,,
,,,
,,,
,,,
,,,
,,,
,,,
